,Ticker,DotCOM %,Housing %,Combined %,Difference
158,EFX,100.64838232529027,96.66783669283325,98.65810950906176,0.040346867097543655
380,NXR,102.36479161463139,96.83764175960809,99.60121668711975,0.0554927945547683
428,QCRH,104.77267726508333,97.57435629645764,101.17351678077048,0.0711482727661182
93,CCNE,104.84082078742756,97.52495728770307,101.18288903756532,0.07230336640228159
317,MATX,106.03653291276316,98.08867186277897,102.06260238777107,0.07787241226504817
16,ALG,105.58955119529952,97.46666244725098,101.52810682127526,0.0800063056661506
556,VBF,108.81591635791506,98.56299510278448,103.68945573034978,0.09888104034217199
294,KRC,113.61696569246034,99.65702381457447,106.6369947535174,0.13091087113016567
272,ITW,103.73147325610859,90.89415082364664,97.31281203987761,0.1319181119460546
339,MMU,111.99380927500198,97.04132414986151,104.51756671243174,0.14306193298855244
598,FUSB,103.51828175392059,87.45466658496373,95.48647416944216,0.16822922103555457
362,NNY,111.73750406320391,92.15813109093334,101.94781757706863,0.1920528897783351
213,GIFI,113.82324357556683,93.40675935310956,103.6150014643382,0.19704177902737505
424,PTVCB,108.1936740493641,88.54663519296591,98.370154621165,0.19972560714234158
370,NUV,113.50613072563209,91.56934269805957,102.53773671184584,0.21393867985617665
135,CZNC,115.6240845261907,93.24726406484695,104.43567429551882,0.21426414500877033
346,MSEX,115.36044226693446,92.54273975414952,103.95159101054199,0.21950315806586293
33,ARTNA,100.11894163569875,80.29334140042506,90.20614151806191,0.2197810470732086
251,HUBB,114.05703369492184,90.13360870003217,102.095321197477,0.2343244011017507
312,MAA,107.7195670970803,83.41101690504298,95.56529200106164,0.25436588622328776
536,UBCP,119.54280905574328,91.95383795286061,105.74832350430194,0.26089275166391007
463,SBUX,116.49233847148301,89.55488885692877,103.0236136642059,0.26146869301589326
511,SXT,113.5296363460316,86.84892993411937,100.18928314007547,0.2663029974434462
633,SFST,125.0053678839578,95.56801488292777,110.28669138344279,0.2669166390954895
434,RCS,129.64149532125077,99.0964141910839,114.36895475616734,0.2670749347608227
24,ANF,119.78002318796241,89.48928000505288,104.63465159650764,0.28949055327977546
569,WASH,128.3004017042754,95.31951893634402,111.80996032030971,0.29497267214341877
58,BIG,127.89809424056564,94.3597069841798,111.12890061237272,0.301797165917898
533,TVC,114.55986855686464,84.45259500253212,99.50623177969838,0.30256671382138617
337,MMM,128.21432943623083,93.29611887057877,110.7552241534048,0.3152737113085299
565,VTRS,128.04367388640475,93.12332526979228,110.58349957809851,0.3157826325793779
125,CSWC,102.38778553830616,74.25475364817198,88.32126959323907,0.3185306554095067
329,MGF,113.49816485252721,82.25224434794882,97.87520460023802,0.3192424540229508
413,PNR,108.15557073370702,78.05139726545637,93.1034839995817,0.3233409983710803
369,NUS,127.26036695824341,91.82543263266693,109.54289979545517,0.32347997352400415
489,SPXC,127.44131426905783,91.78843606664282,109.61487516785033,0.32525583911691464
608,FCCY,132.39137111147582,95.34940035213782,113.87038573180682,0.325299422859435
8,AFG,112.48550828574635,80.73589565834392,96.61070197204513,0.3286345299156336
78,BXS,121.41043101682389,87.02697534547411,104.21870318114901,0.32991636454721335
527,TRMK,129.29749982668977,92.65766393163956,110.97758187916466,0.3301552914979229
217,GIM,116.05678087300353,82.77991266536324,99.41834676918339,0.33471556597997154
510,SWX,113.91930191596886,80.61678466123787,97.26804328860337,0.34237881352171656
3,ABM,125.65677432572593,88.61279893590691,107.13478663081642,0.3457698153399191
558,VGR,101.84515157950187,71.70666409727426,86.77590783838806,0.3473139980091906
35,ATAX,131.07497596128442,91.61967118476153,111.34732357302298,0.3543444378404624
373,NVS,116.67071555546518,81.4053984830952,99.03805701928019,0.3560784423053122
237,HMC,110.53128375284784,76.77587715866355,93.6535804557557,0.3604283619474772
62,BKR,110.64973486188485,76.84018161237609,93.74495823713048,0.3606546302360769
124,CSL,121.00353836467326,83.14929764748562,102.07641800607945,0.3708421735070398
618,TVE,120.06773473502564,82.23651238044349,101.15212355773457,0.3740032440642656
174,ETN,107.61058707569006,73.13579584376113,90.3731914597256,0.38147143721589677
411,PKE,127.43289078489401,86.27046709236514,106.85167893862958,0.3852295453042958
498,STBA,123.26931737532414,82.59683868091267,102.9330780281184,0.39513516425983974
170,ESBK,143.3226278861504,95.06167418837197,119.19215103726118,0.4049004341124053
499,STC,136.24789460017575,89.51760276397621,112.88274868207598,0.4139719521519729
169,ERIE,137.43522541457935,89.88171276903607,113.65846909180772,0.41838952280038094
502,STKL,146.2150259075317,95.60782090990047,120.91142340871608,0.4185477564560962
73,BSRR,127.1183118342882,82.95281671026883,105.03556427227852,0.42048134296238304
119,CPK,100.7612467623767,65.66815690905415,83.21470183571543,0.42171742587751165
10,AHPI,129.16833151901264,84.07360908203722,106.62097030052493,0.42294421359953993
162,ELSE,143.14173889988982,91.72883316063691,117.43528603026337,0.43779776485581745
188,FDX,121.44160770679977,77.42965516149519,99.43563143414748,0.44261751960062784
102,CHN,111.34566675688585,70.5494567555938,90.94756175623982,0.4485684851083219
77,BXP,120.55793391086476,76.11780648976601,98.3378702003154,0.45191264901887435
156,ED,126.55954025932354,79.87208135278418,103.21581080605387,0.45232855840532743
406,PEP,108.55705679360857,68.09093228866047,88.32399454113451,0.45815550706441494
589,WTS,115.74560790587778,72.52372523282364,94.13466656935071,0.4591494743460083
42,AVB,122.80957990077981,76.93406965656774,99.87182477867378,0.45934386746088707
507,SWK,130.43695781621634,81.32112794730195,105.87904288175915,0.46388622839899196
342,MPAA,104.70638218569559,64.52689040904544,84.61663629737052,0.47484151503548644
